name,author,artwork_url,code,license,like_count,description,top_5_comments
Nova Strike v1.1.4,Supernova3339,https://www.lexaloffle.com/bbs/thumbs/pico8_supersoft_novastrike-7.png,[Cart: https://www.lexaloffle.com/bbs/cposts/su/supersoft_novastrike-7.p8.png],CC4-BY-NC-SA,2,"Nova Strike v1.1.4Supernova3339•2026-09-05*2026-09-05 07:24*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileNova Strike v1.1.4Cart File|Forum Post|More cartridgesbySupernova3339More Cartridges[View All]Nova Strike v1.1.4bySupernova3339Cart#supersoft_novastrike-7

								|2026-09-06|Code ▽|Embed ▽|License:CC4-BY-NC-SA2Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.NOVA STRIKE ( v1.1.4 )Typical wave shooter, first attempt at a pico-8 game. Takes some inspiration from Galaxian for AtariNot the best at music, first go in the editor so apologies in advance! You can turn it off in options though :)What YOU Can Do:Shoot stuffGrab power-ups that drop (I have shields even, your welcome)Bombs for mass clearing of enemies (you can get extra from drops)There's a few bosses as Galaxian had a few bossesRoguelike-ish with upgrades every few stages w/shop-rerollsUnlock new ships by playing stages and resume from where you left off for a casual-experience :)Features:Infinite gameplayUI Menu with options, credits, and high scores :DRocketship characterCommunity Feedback/Tips appreciated!Note that I am quite close to my limit even with shrinko8 and do not want this to be a multicart title.ChangelogV1.1.4Balanced the game moreBug fixes w/drifting mechanicFixed possibility for boss health table to overflowV1.1.3Adjusted ship firing to be different as a reward for unlocking themV1.1.2Fixed drifting and speed controlsFixed issue with notifications popping without unlocking new characterV1.1.1Buffed game to make harder over wavesMultiple highscore names instead of just oneChanged options menu to use previous menu navigation systemYou can now delete all of your dataColored in the Pico-8 logo for splashscreenBalanced portions of the game to ensure longer playtimeClears out projectiles and powerups properly after a wave is clearedV1.",No comments
Nim,Alkhan,https://www.lexaloffle.com/bbs/thumbs/pico8_nimalkhan-1.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ni/nimalkhan-1.p8.png],CC4-BY-NC-SA,4,"NimAlkhan•2026-09-05*2026-09-05 05:59*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileNimCart File|Forum Post|More cartridgesbyAlkhanMore Cartridges[View All]NimbyAlkhanCart#nimalkhan-1

								|2026-09-06|Code ▽|Embed ▽|License:CC4-BY-NC-SA4Copy and paste the snippet below into your HTML.Ancient strategy game of taking objects from rows.puzzle4",No comments
Frog Click Rouge,Team_Metroit,https://www.lexaloffle.com/bbs/thumbs/pico8_frogclickrouge-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/fr/frogclickrouge-0.p8.png],No License,2,"Frog Click RougeTeam_Metroit•2026-09-05*2026-09-05 01:19*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileFrog Click RougeCart File|Forum Post|More cartridgesbyTeam_MetroitMore Cartridges[View All]Frog Click RougebyTeam_MetroitCart#frogclickrouge-0

								|2026-09-05|Code ▽|Embed ▽|No License2Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.HI new update to my gamegamefrogrougelike2",No comments
Palace 2.0,rozaporx,https://www.lexaloffle.com/bbs/thumbs/pico8_rozaporx-1.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ro/rozaporx-1.p8.png],No License,2,"Palace 2.0rozaporx•2026-09-05*2026-09-05 00:21*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfilePalace 2.0Cart File|Forum Post|More cartridgesbyrozaporxMore Cartridges[View All]Palace 2.0byrozaporxCart#rozaporx-1

								|2026-09-05|Code ▽|Embed ▽|No License2Copy and paste the snippet below into your HTML.Setup & Table Layout Face-Down Palace: Deal 3 cards face-down in a row in front of each player. These remain secretuntil the end of the game. Face-Up Palace: Deal 3 cards face-up, directly on top of each face-down card. In-Hand Cards: Deal 6 cards face-down to each player to form their initial hand. Draw Pile: Place the remaining deck face-down in the center of the table. Leave space next to it forthe discard pile. The Swap Phase: Before play begins, each player may swap cards between their 6 hand cards andtheir 3 face-up Palace cards. Use this phase to put your strongest cards (e.g., 2s, 10s, Aces) into yourface-up Palace.LAYOUT TIP: Your Palace consists of 3 hidden face-down cards with 3 visible face-up cards resting on top of them.You cannot play these until the central draw pile is exhausted and your hand is completely empty.Special & Power CardsPower cards break standard rank progression and give tactical advantages:Card Role Special Effect & Rules2 Reset Card Resets the play pile value to zero.Can be played on TOP of any card,and ANY card can be played on topof a 2.10 Burn Card Immediately clears (burns) the entirediscard pile from the game. Theplayer takes an immediate extraturn.4-of-a-Kind Automatic Burn Playing four cards of the same rankconsecutively (or stacking 4 at once)instantly burns the pile and grants anextra turn.Gameplay Loop• Playing Cards: On your turn, play a card that is equal to or higher in rank than the top card on thediscard pile. You may play multiple cards of the same rank together (e.g., two 8s or three 5s).• Drawing Cards: As long as cards remain in the central draw pile, you must always",No comments
Draughts,Alkhan,https://www.lexaloffle.com/bbs/thumbs/pico8_draughtsalkhan-4.png,[Cart: https://www.lexaloffle.com/bbs/cposts/dr/draughtsalkhan-4.p8.png],CC4-BY-NC-SA,5,"DraughtsAlkhan•2026-09-04*2026-09-04 16:23*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileDraughtsCart File|Forum Post|More cartridgesbyAlkhanMore Cartridges[View All]DraughtsbyAlkhanCart#draughtsalkhan-4

								|2026-09-07|Code ▽|Embed ▽|License:CC4-BY-NC-SA5Copy and paste the snippet below into your HTML.A classic game of English draughts, also known as American checkers — simple to learn, but built around surprisingly deep strategy.board5",No comments
D&D Fifth Edition Armor Piece Calculator,sirdoodle16,https://www.lexaloffle.com/bbs/thumbs/pico8_dndsplitac-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/dn/dndsplitac-0.p8.png],No License,1,"D&D Fifth Edition Armor Piece Calculatorsirdoodle16•2026-09-04*2026-09-04 15:38*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfiledndsplitacCart File|Forum Post|More cartridgesbysirdoodle16More Cartridges[View All]dndsplitacbysirdoodle16Cart#dndsplitac-0

								|2026-09-04|Code ▽|Embed ▽|No License1Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.This is a simple calculator for a rule to have armor sets split into 3 different slots for D&D Fifth Edition. Extra rules are as follows, as well as the formula used below.STR requirements to wear armors still apply, with the required number being decreased by 1 for each missing piece of armor from the full set. Extra features such as stealth disadvantage or adding DEX bonus only apply if 2 out of your 3 armor slots have armors that use that feature. If you are wearing one piece of armor with an uncapped DEX bonus, and one with DEX bonus capped at +2, your DEX bonus will be capped at +2.Armor that is enchanted to be +1/+2/+3 can vary in where it is enchanted. If an entire set is enchanted, then the bonus from the enchantment is applied only to the Set Bonus category, and does not happen without wearing the full armor set. If a specific piece of armor is enchanted however, the bonus only applies when wearing that specific piece of armor. When wearing multiple pieces of enchanted armor from different sets, only the higher bonus applies, with the other being nullified. If two pieces of enchanted armor are from the same set, the bonuses stack.The formula explained:In order to calculate how much AC each individual piece grants, you must first determine an armor's AC “score”. The score can be found by taking the base AC of the armor, and subtracting 10 from it. The score does not include extra bonuses such as DEX modifier for leather armor, or the +1/+2/+3 from enchanted ar",No comments
PATCH-MON,shulgee,https://www.lexaloffle.com/bbs/thumbs/pico8_sefepazajo-3.png,[Cart: https://www.lexaloffle.com/bbs/cposts/se/sefepazajo-3.p8.png],CC4-BY-NC-SA,2,"PATCH-MONshulgee•2026-09-04*2026-09-04 13:03*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfilePatch-Mon v0.75Cart File|Forum Post|More cartridgesbyshulgeeMore Cartridges[View All]Patch-Mon v0.75byshulgeeCart#sefepazajo-3

								|2021-02-19|Code ▽|Embed ▽|License:CC4-BY-NC-SA2Copy and paste the snippet below into your HTML.2",No comments
earthmoon,pixel_from_earth,https://www.lexaloffle.com/bbs/thumbs/pico8_earthmoon092-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ea/earthmoon092-0.p8.png],CC4-BY-NC-SA,7,"earthmoonpixel_from_earth•2026-09-04*2026-09-04 13:10*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profileearthmoon092Cart File|Forum Post|More cartridgesbypixel_from_earthMore Cartridges[View All]earthmoon092bypixel_from_earthCart#earthmoon092-0

								|2026-09-08|Code ▽|Embed ▽|License:CC4-BY-NC-SA7Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.The GameTurn-based science fiction game. Build space ships to explore Mercury, Mars, and other worlds to gather data about their resources. Your research facility develops new spacecraft to colonize these worlds. Dispatch vessels to asteroids to collect small amounts of resources, and expand by building stations on explored worlds until you reach the farthest edges of our solar system.ControlsUse the arrow keys to move the green cursor and press X to select options.For the date icon: Press to advance one turn, or hold to speed up - though the game will pause automatically if an event occurs.Use the first icon to return to The Moon base. The second icon lets you switch to bases on other worlds - if you’ve built any.I’m not sure how much of the game to explain - some players might prefer to discover things on their own. But if you’d like more hints, I will add them here.DevelopmentInspired by old Amiga classics like Millennium 2.2 and Deuteros, I programmed until PICO-8 memory ran out. The game now includes planets and moons, stations and spaceships, and even a short intro and an ending sequence. Due to memory contraints, missions are limited and straightforward - no enemies or combat here. Balancing was tricky, and creating music, sound effects, and pixel art was new to me.Even so, experimenting with PICO-8 is a lot of fun, and I’m still working on improvements.Version History0.9.2 - solved bug: wrong resource index when mars was colonized before mercury; removed the """,No comments
PICO-RAMBLE,shulgee,https://www.lexaloffle.com/bbs/thumbs/pico8_picoramble-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/pi/picoramble-0.p8.png],CC4-BY-NC-SA,8,"PICO-RAMBLEshulgee•2026-09-04*2026-09-04 12:45*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfilepicorambleCart File|Forum Post|More cartridgesbyshulgeeMore Cartridges[View All]picoramblebyshulgeeCart#picoramble-0

								|2026-09-04|Code ▽|Embed ▽|License:CC4-BY-NC-SA8Copy and paste the snippet below into your HTML.8",No comments
Chess,Alkhan,https://www.lexaloffle.com/bbs/thumbs/pico8_chessalkhan-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ch/chessalkhan-0.p8.png],CC4-BY-NC-SA,4,"ChessAlkhan•2026-09-04*2026-09-04 10:50*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileChessCart File|Forum Post|More cartridgesbyAlkhanMore Cartridges[View All]ChessbyAlkhanCart#chessalkhan-0

								|2026-09-04|Code ▽|Embed ▽|License:CC4-BY-NC-SA4Copy and paste the snippet below into your HTML.Chess — one of the oldest and greatest games ever created.board4",No comments
7-Eleven Rush,bredslicer,https://www.lexaloffle.com/bbs/thumbs/pico8_seven_eleven_rush-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/se/seven_eleven_rush-0.p8.png],No License,6,"7-Eleven Rushbredslicer•2026-09-042026-09-04 01:34•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profile7-Eleven RushCart File|Forum Post|More cartridgesbybredslicerMore Cartridges[View All]7-Eleven RushbybredslicerCart#seven_eleven_rush-0

								|2026-09-04|Code ▽|Embed ▽|No License6Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.A game inspired by various 7-elevens across Asia.CONTROLSTo move the cart, use the LEFT and RIGHT Arrow Keys. To dash (once unlocked), press X.RULESGet the highest score you can by collecting as many soda cans as possible. Once the cart is full (10 sodas out of 10), you must check out at the cash register on the right side of the screen. You have 4 total misses allowed before the game is over.Game created by Cliff6",No comments
The Great Historical Regatta,barnabewild,https://www.lexaloffle.com/bbs/thumbs/pico8_sunomata-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/su/sunomata-0.p8.png],No License,2,"The Great Historical Regattabarnabewild•2026-09-03*2026-09-03 23:54*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfilesunomataCart File|Forum Post|More cartridgesbybarnabewildMore Cartridges[View All]sunomatabybarnabewildCart#sunomata-0

								|2026-09-03|Code ▽|Embed ▽|No License2Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.historical boat racers, but history didn't fit in 1024 bytes.for the 1kb PICO-1K Jam 2026!You the player, aboard the Wayfarer.Hideyoshi Toyotomi, aboard the Sunomata.Why does Hideyoshi have a speedboat? Don't worry about it.Keyboard controls:Left / Right — SteerUp — AccelerateX — Boost. Be careful, you only have one!itch project page:https://barnabe-wild.itch.io/the-great-historical-regattaboatrace1kb2",No comments
Shark escape,Lair_of_Mice,https://www.lexaloffle.com/bbs/thumbs/pico8_shhhark-2.png,[Cart: https://www.lexaloffle.com/bbs/cposts/sh/shhhark-2.p8.png],CC4-BY-NC-SA,3,"Shark escapeLair_of_Mice•2026-09-03*2026-09-03 18:42*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileShark escapeCart File|Forum Post|More cartridgesbyLair_of_MiceMore Cartridges[View All]Shark escapebyLair_of_MiceCart#shhhark-2

								|2026-09-07|Code ▽|Embed ▽|License:CC4-BY-NC-SA3Copy and paste the snippet below into your HTML.3",No comments
Tic Tac Toe,Alkhan,https://www.lexaloffle.com/bbs/thumbs/pico8_tictactoealkhan-2.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ti/tictactoealkhan-2.p8.png],CC4-BY-NC-SA,3,"Tic Tac ToeAlkhan•2026-09-03*2026-09-03 06:11*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileTic Tac ToeCart File|Forum Post|More cartridgesbyAlkhanMore Cartridges[View All]Tic Tac ToebyAlkhanCart#tictactoealkhan-2

								|2026-09-03|Code ▽|Embed ▽|License:CC4-BY-NC-SA3Copy and paste the snippet below into your HTML.A simple game of Tic-Tac-Toe made as a small tribute to Bertie the Brain, one of the earliest known video games.arcadepuzzle3",No comments
picosaurrunner,gogbone,https://www.lexaloffle.com/bbs/thumbs/pico8_picosaurrunner-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/pi/picosaurrunner-0.p8.png],CC4-BY-NC-SA,3,"picosaurrunnergogbone•2026-09-022026-09-02 23:22•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfilepicosaurrunnerCart File|Forum Post|More cartridgesbygogboneMore Cartridges[View All]picosaurrunnerbygogboneCart#picosaurrunner-0

								|2026-09-02|Code ▽|Embed ▽|License:CC4-BY-NC-SA3Copy and paste the snippet below into your HTML.second game! even though I'm a firefox truther I thought it would be good to remake the chrome dinosaur game just for learning :) I'm really happy with the sprites I did for this!dinosaurdinodinosaurgamechrome3",No comments
PONG,Alkhan,https://www.lexaloffle.com/bbs/thumbs/pico8_pongalkhan-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/po/pongalkhan-0.p8.png],CC4-BY-NC-SA,4,"PONGAlkhan•2026-09-02*2026-09-02 14:18*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfilePongCart File|Forum Post|More cartridgesbyAlkhanMore Cartridges[View All]PongbyAlkhanCart#pongalkhan-0

								|2026-09-02|Code ▽|Embed ▽|License:CC4-BY-NC-SA4Copy and paste the snippet below into your HTML.I recreated Pong, but decided to add a bit more color and juice to the original formula.pongarcadesports4",No comments
4most crewm8,pytonvrazditel,https://www.lexaloffle.com/bbs/thumbs/pico8_mostcrewm-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/mo/mostcrewm-0.p8.png],CC4-BY-NC-SA,1,"4most crewm8pytonvrazditel•2026-09-022026-09-02 06:56•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profile4most crewm8Cart File|Forum Post|More cartridgesbypytonvrazditelMore Cartridges[View All]4most crewm8bypytonvrazditelCart#mostcrewm-0

								|2026-09-02|Code ▽|Embed ▽|License:CC4-BY-NC-SA1Copy and paste the snippet below into your HTML.1",No comments
breakout_pico,rainbow_tv,https://www.lexaloffle.com/bbs/thumbs/pico8_breakout_pico-1.png,[Cart: https://www.lexaloffle.com/bbs/cposts/br/breakout_pico-1.p8.png],CC4-BY-NC-SA,1,"breakout_picorainbow_tv•2026-09-01*2026-09-01 23:05*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profilebreakout_picoCart File|Forum Post|More cartridgesbyrainbow_tvMore Cartridges[View All]breakout_picobyrainbow_tvCart#breakout_pico-1

								|2026-09-01|Code ▽|Embed ▽|License:CC4-BY-NC-SA1Copy and paste the snippet below into your HTML.breakout_picobyrainbow_tvCart#breakout_pico-0

								|2026-09-01|Code ▽|Embed ▽|License:CC4-BY-NC-SA1Copy and paste the snippet below into your HTML.my new game whit no demons :D1",No comments
basic3drenderer2,Jabz,https://www.lexaloffle.com/bbs/thumbs/pico8_basic3drenderer2-2.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ba/basic3drenderer2-2.p8.png],No License,12,"basic3drenderer2Jabz•2026-09-01*2026-09-01 07:42*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profilebasic3drenderer2Cart File|Forum Post|More cartridgesbyJabzMore Cartridges[View All]basic3drenderer2byJabzCart#basic3drenderer2-2

								|2026-09-01|Code ▽|Embed ▽|No License12Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.This project has mainly been to learn more about 3D rendering and for fun. Feel free to critique or mess with the code if you want.Controls:First person camera:(←)/(→) moves camera side to side(↑)/(↓) moves camera backwards and forwardsMouse input for camera direction e.g. pitch,yawRender Settings:'x' turns ground shadown casting on/off'c' turns obj-to-obj occlusion on/off'm' turns 'wireframe' on/off12",No comments
Hop Climber,illugion,https://www.lexaloffle.com/bbs/thumbs/pico8_hop_climber-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ho/hop_climber-0.p8.png],No License,9,"Hop Climberillugion•2026-09-01*2026-09-01 05:42*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profilehop_climberCart File|Forum Post|More cartridgesbyillugionMore Cartridges[View All]hop_climberbyillugionCart#hop_climber-0

								|2026-09-01|Code ▽|Embed ▽|No License9Copy and paste the snippet below into your HTML.Hop ClimberTiny arcade experience: hop up to the top while racking points!Longer hops = higher scoresPC Controls:Z - Quick tap to Hop (don't hold!)X - BackArrows - MoveTips:While holding Z you can't grab walls, so do quick taps!Don't be afraid of falling, climb to the very edge before jumping.You only let go of the wall when you press Z.For higher scores, try dropping from a high altitude. Hold Z to pass through walls!arcadeclimbingscore9",No comments
TetriSuika,bontempi,https://www.lexaloffle.com/bbs/thumbs/pico8_fyusisnu-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/fy/fyusisnu-0.p8.png],No License,5,"TetriSuikabontempi•2026-08-31*2026-08-31 20:38*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfilefyusisnuCart File|Forum Post|More cartridgesbybontempiMore Cartridges[View All]fyusisnubybontempiCart#fyusisnu-0

								|2026-09-02|Code ▽|Embed ▽|No License5Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.Hi !This is my first game ever : a cross between Tetris and Suika Game !Merge two blocks of the same color to create a new one. Merge two green blocks to make them disappear !It's still in development, so feedback is welcome. The music is just a basic loop, don't bother with it yet.If you're not familiar with Suika Game, you can play it here :https://www.lexaloffle.com/bbs/?pid=136042#ptetrissuikapuzzlecrossover5",No comments
You Brought a Gun to a Laser Fight,dredds,https://www.lexaloffle.com/bbs/thumbs/pico8_gun_to_a_laser_fight-1.png,[Cart: https://www.lexaloffle.com/bbs/cposts/gu/gun_to_a_laser_fight-1.p8.png],No License,9,"You Brought a Gun to a Laser Fightdredds•2026-08-31*2026-08-31 10:38*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profilegun_to_a_laser_fightCart File|Forum Post|More cartridgesbydreddsMore Cartridges[View All]gun_to_a_laser_fightbydreddsCart#gun_to_a_laser_fight-1

								|2026-09-02|Code ▽|Embed ▽|No License9Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.A fast paced, 1980s-style ""laser-hell"" shmup.This was written for lowrezJAM, and so uses 64x64 pixel resolution.Detailed instructions (including a printable instruction booklet) on the game's itch.io page:https://dredds.itch.io/you-brought-a-gun-to-a-laser-fightTitle music by ridgekhttps://ridgek.itch.io/20th-century-ops.64x64shmuplowrezjam9",No comments
Eye for an eye!,Alexander_fa,https://www.lexaloffle.com/bbs/thumbs/pico8_eyeforaneye-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ey/eyeforaneye-0.p8.png],CC4-BY-NC-SA,8,"Eye for an eye!Alexander_fa•2026-08-30*2026-08-30 11:36*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileeyeforaneyeCart File|Forum Post|More cartridgesbyAlexander_faMore Cartridges[View All]eyeforaneyebyAlexander_faCart#eyeforaneye-0

								|2026-08-30|Code ▽|Embed ▽|License:CC4-BY-NC-SA8Copy and paste the snippet below into your HTML.Eye for an eye!Your goal is to shoot the eyes falling from above, while upgrading your cannon!Controls:Shoot = XAngle = Arrow keysshooterroguelike8",No comments
The mysterious maze,Mochi890,https://www.lexaloffle.com/bbs/thumbs/pico8_pusudidate-1.png,[Cart: https://www.lexaloffle.com/bbs/cposts/pu/pusudidate-1.p8.png],No License,1,"The mysterious mazeMochi890•2026-08-30*2026-08-30 08:30*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileThe mysterious mazeCart File|Forum Post|More cartridgesbyMochi890More Cartridges[View All]The mysterious mazebyMochi890Cart#pusudidate-1

								|2026-09-10|Code ▽|Embed ▽|No License1Copy and paste the snippet below into your HTML.1",No comments
Kitchen Matchen 3 [Match3 Puzzle],shiftalow,https://www.lexaloffle.com/bbs/thumbs/pico8_kitchenmatchen3_1-5.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ki/kitchenmatchen3_1-5.p8.png],No License,18,"Kitchen Matchen 3 [Match3 Puzzle]shiftalow•2026-08-30*2026-08-30 14:43*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profilekitchenmatchen3_1Cart File|Forum Post|More cartridgesbyshiftalowMore Cartridges[View All]kitchenmatchen3_1byshiftalowCart#kitchenmatchen3_1-5

								|2026-09-09|Code ▽|Embed ▽|No License18Copy and paste the snippet below into your HTML.Note: This cartridge's settings do not allow embedded playback. A [Play at lexaloffle] link will be included instead.EnglishFeatures★ A cooking puzzle game featuring cute chefs!★ Control the cooking chopsticks to line up and match three identical blocks!★ Matched blocks turn into cooking ingredients—try to make as many matches as you can!★ Once the cooking time is up, the dish is complete! It’s a surprise to see what you’ll make! 🎁Controls (PC/Mouse)Left-click: Confirm, select, etc.Left-drag: Scroll screen, slide blocks, activate ✨️Special Move Block✨️(ワザブロック), etc.Left double-click: Activate ✨️Special Move Block✨️(ワザブロック)F1 Key: ScreenshotF3 Key:StartGIF captureF4 Key:ExportGIF captureRight-click: ?Middle-drag: ?◯ button: ?✕ button: ?This game is playable on smartphones, though you may not be able to view descriptions that appear on mouse-over. In that case, please enjoy the game in ⏹️full-screen mode.It's all in Japanese, so if you want to know the meaning of any words in the game, please let us know.🙏StoryOh my...! It looks like there isn't a single dish in this world yet.Well then, let us whip up something special for you!Wait a minute... it looks like I forgot my recipe notebook... 💦Maybe playing the puzzle will help me remember!MenuPuzzle[パズル]Start a match-3 puzzle!Completing the puzzle finishes the dish.Your dishes are recorded in the recipe notebook.Recipes[レシピ]View recipes for the dishes you've completed.For incomplete recipes, you can see a small hint about the ingredients.Records[きろく]Check your game history.To start over from the beginning, use the scissors at th",No comments
rainbow_edwin,Lyrdl,https://www.lexaloffle.com/bbs/thumbs/pico8_rainbow_edwin-15.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ra/rainbow_edwin-15.p8.png],CC4-BY-NC-SA,2,"rainbow_edwinLyrdl•2026-08-30*2026-08-30 05:45*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To Profilerainbow_edwinCart File|Forum Post|More cartridgesbyLyrdlMore Cartridges[View All]rainbow_edwinbyLyrdlCart#rainbow_edwin-15

								|2026-09-09|Code ▽|Embed ▽|License:CC4-BY-NC-SA2Copy and paste the snippet below into your HTML.Pick a picture, paint it in. Press X to dash.2",No comments
Missile in a Mineshaft,LoveDan,https://www.lexaloffle.com/bbs/thumbs/pico8_missile_in_a_mineshaft-1.png,[Cart: https://www.lexaloffle.com/bbs/cposts/mi/missile_in_a_mineshaft-1.p8.png],CC4-BY-NC-SA,25,"Missile in a MineshaftLoveDan•2026-08-30*2026-08-30 05:14*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileAllow me to present my first complete Pico8 project. After six years of experiments I've finally worked on a project to completion. It's a Roguelite version of the old 'rocket drops down a tunnel' game from the 1980s. Smash into the wall and claim ore. Smelt new missile components. Upgrade your steering, explosive yield and braking ability. Go deeper and deeper claiming rarer and rarer resources in your mission to shatter the entire planet.This has been tested on various gamers who all enjoyed it very much. I personally enjoyed several hours both playing and fine tuning the balance. Enjoy it for fifteen minutes or commit to half a dozen prestige levels. The sky is (ironically) the limit.EDIT: Autosaving has been added and occurs upon each launch.missile_in_a_mineshaftCart File|Forum Post|More cartridgesbyLoveDanMore Cartridges[View All]missile_in_a_mineshaftbyLoveDanCart#missile_in_a_mineshaft-1

								|2026-09-03|Code ▽|Embed ▽|License:CC4-BY-NC-SA25Copy and paste the snippet below into your HTML.No Gen AI used.roguelitegame25",No comments
FlappyPico,filipeversehgi,https://www.lexaloffle.com/bbs/thumbs/pico8_yatubikede-0.png,[Cart: https://www.lexaloffle.com/bbs/cposts/ya/yatubikede-0.p8.png],No License,2,"FlappyPicofilipeversehgi•2026-08-29*2026-08-29 19:30*•BBS>PICO-8>CartridgesSubscribe to this Thread(Receive email notifications)Pin To ProfileyatubikedeCart File|Forum Post|More cartridgesbyfilipeversehgiMore Cartridges[View All]yatubikedebyfilipeversehgiCart#yatubikede-0

								|2026-08-29|Code ▽|Embed ▽|No License2Copy and paste the snippet below into your HTML.This is my first Pico8 game that I did by myself, without following any tutorials!2",No comments
